h[m], water_content[-], rel_perm[-]
  0.000000,   0.410000,   1.000000
  0.009009,   0.409007,   0.994566
  0.018018,   0.406363,   0.980171
  0.027027,   0.402319,   0.958340
  0.036036,   0.397091,   0.930461
  0.045045,   0.390895,   0.897920
  0.054054,   0.383939,   0.862044
  0.063063,   0.376421,   0.824042
  0.072072,   0.368518,   0.784965
  0.081081,   0.360384,   0.745679
  0.090090,   0.352148,   0.706873
  0.099099,   0.343916,   0.669064
  0.108108,   0.335773,   0.632623
  0.117117,   0.327781,   0.597798
  0.126126,   0.319989,   0.564740
  0.135135,   0.312431,   0.533518
  0.144144,   0.305128,   0.504149
  0.153153,   0.298095,   0.476604
  0.162162,   0.291337,   0.450827
  0.171171,   0.284856,   0.426741
  0.180180,   0.278650,   0.404259
  0.189189,   0.272712,   0.383287
  0.198198,   0.267035,   0.363729
  0.207207,   0.261609,   0.345489
  0.216216,   0.256425,   0.328474
  0.225225,   0.251472,   0.312596
  0.234234,   0.246740,   0.297771
  0.243243,   0.242216,   0.283919
  0.252252,   0.237892,   0.270967
  0.261261,   0.233756,   0.258847
  0.270270,   0.229799,   0.247496
  0.279279,   0.226012,   0.236855
  0.288288,   0.222384,   0.226870
  0.297297,   0.218908,   0.217492
  0.306306,   0.215575,   0.208677
  0.315315,   0.212378,   0.200381
  0.324324,   0.209309,   0.192568
  0.333333,   0.206361,   0.185202
  0.342342,   0.203528,   0.178250
  0.351351,   0.200805,   0.171684
  0.360360,   0.198184,   0.165477
  0.369369,   0.195661,   0.159603
  0.378378,   0.193232,   0.154040
  0.387387,   0.190890,   0.148766
  0.396396,   0.188631,   0.143763
  0.405405,   0.186453,   0.139012
  0.414414,   0.184349,   0.134497
  0.423423,   0.182318,   0.130203
  0.432432,   0.180355,   0.126116
  0.441441,   0.178457,   0.122223
  0.450450,   0.176621,   0.118511
  0.459459,   0.174844,   0.114971
  0.468468,   0.173124,   0.111591
  0.477477,   0.171457,   0.108363
  0.486486,   0.169842,   0.105277
  0.495495,   0.168276,   0.102324
  0.504505,   0.166757,   0.099498
  0.513514,   0.165283,   0.096792
  0.522523,   0.163852,   0.094198
  0.531532,   0.162462,   0.091710
  0.540541,   0.161111,   0.089324
  0.549550,   0.159799,   0.087032
  0.558559,   0.158523,   0.084831
  0.567568,   0.157281,   0.082715
  0.576577,   0.156073,   0.080681
  0.585586,   0.154898,   0.078724
  0.594595,   0.153753,   0.076840
  0.603604,   0.152638,   0.075025
  0.612613,   0.151551,   0.073277
  0.621622,   0.150492,   0.071591
  0.630631,   0.149459,   0.069965
  0.639640,   0.148452,   0.068397
  0.648649,   0.147469,   0.066883
  0.657658,   0.146510,   0.065421
  0.666667,   0.145574,   0.064008
  0.675676,   0.144660,   0.062643
  0.684685,   0.143768,   0.061322
  0.693694,   0.142895,   0.060045
  0.702703,   0.142043,   0.058810
  0.711712,   0.141210,   0.057613
  0.720721,   0.140395,   0.056455
  0.729730,   0.139599,   0.055333
  0.738739,   0.138819,   0.054245
  0.747748,   0.138057,   0.053191
  0.756757,   0.137310,   0.052169
  0.765766,   0.136580,   0.051177
  0.774775,   0.135864,   0.050215
  0.783784,   0.135164,   0.049280
  0.792793,   0.134477,   0.048373
  0.801802,   0.133805,   0.047492
  0.810811,   0.133146,   0.046636
  0.819820,   0.132500,   0.045804
  0.828829,   0.131867,   0.044996
  0.837838,   0.131246,   0.044209
  0.846847,   0.130637,   0.043444
  0.855856,   0.130039,   0.042700
  0.864865,   0.129453,   0.041976
  0.873874,   0.128878,   0.041270
  0.882883,   0.128314,   0.040584
  0.891892,   0.127760,   0.039915
  0.900901,   0.127215,   0.039264
  0.909910,   0.126681,   0.038629
  0.918919,   0.126156,   0.038010
  0.927928,   0.125641,   0.037407
  0.936937,   0.125134,   0.036818
  0.945946,   0.124637,   0.036245
  0.954955,   0.124148,   0.035685
  0.963964,   0.123667,   0.035139
  0.972973,   0.123194,   0.034606
  0.981982,   0.122730,   0.034085
  0.990991,   0.122273,   0.033577
  1.000000,   0.121823,   0.033081
  1.009009,   0.121381,   0.032596
  1.018018,   0.120946,   0.032123
  1.027027,   0.120518,   0.031660
  1.036036,   0.120097,   0.031207
  1.045045,   0.119683,   0.030765
  1.054054,   0.119275,   0.030333
  1.063063,   0.118873,   0.029910
  1.072072,   0.118478,   0.029497
  1.081081,   0.118089,   0.029092
  1.090090,   0.117705,   0.028696
  1.099099,   0.117328,   0.028309
  1.108108,   0.116956,   0.027930
  1.117117,   0.116589,   0.027559
  1.126126,   0.116228,   0.027195
  1.135135,   0.115872,   0.026839
  1.144144,   0.115522,   0.026491
  1.153153,   0.115176,   0.026149
  1.162162,   0.114836,   0.025815
  1.171171,   0.114500,   0.025487
  1.180180,   0.114169,   0.025166
  1.189189,   0.113842,   0.024851
  1.198198,   0.113520,   0.024543
  1.207207,   0.113203,   0.024240
  1.216216,   0.112890,   0.023943
  1.225225,   0.112581,   0.023652
  1.234234,   0.112276,   0.023367
  1.243243,   0.111976,   0.023087
  1.252252,   0.111679,   0.022812
  1.261261,   0.111387,   0.022543
  1.270270,   0.111098,   0.022278
  1.279279,   0.110813,   0.022018
  1.288288,   0.110531,   0.021764
  1.297297,   0.110254,   0.021513
  1.306306,   0.109979,   0.021268
  1.315315,   0.109709,   0.021026
  1.324324,   0.109441,   0.020789
  1.333333,   0.109178,   0.020557
  1.342342,   0.108917,   0.020328
  1.351351,   0.108659,   0.020103
  1.360360,   0.108405,   0.019883
  1.369369,   0.108154,   0.019666
  1.378378,   0.107906,   0.019453
  1.387387,   0.107661,   0.019243
  1.396396,   0.107419,   0.019037
  1.405405,   0.107179,   0.018835
  1.414414,   0.106943,   0.018636
  1.423423,   0.106709,   0.018440
  1.432432,   0.106478,   0.018247
  1.441441,   0.106250,   0.018058
  1.450450,   0.106024,   0.017872
  1.459459,   0.105801,   0.017689
  1.468468,   0.105581,   0.017509
  1.477477,   0.105363,   0.017331
  1.486486,   0.105147,   0.017157
  1.495495,   0.104934,   0.016985
  1.504505,   0.104724,   0.016816
  1.513514,   0.104515,   0.016650
  1.522523,   0.104309,   0.016486
  1.531532,   0.104105,   0.016325
  1.540541,   0.103904,   0.016166
  1.549550,   0.103704,   0.016010
  1.558559,   0.103507,   0.015856
  1.567568,   0.103312,   0.015704
  1.576577,   0.103119,   0.015555
  1.585586,   0.102928,   0.015408
  1.594595,   0.102739,   0.015263
  1.603604,   0.102552,   0.015121
  1.612613,   0.102366,   0.014980
  1.621622,   0.102183,   0.014842
  1.630631,   0.102002,   0.014705
  1.639640,   0.101823,   0.014571
  1.648649,   0.101645,   0.014438
  1.657658,   0.101469,   0.014307
  1.666667,   0.101295,   0.014179
  1.675676,   0.101123,   0.014052
  1.684685,   0.100952,   0.013927
  1.693694,   0.100783,   0.013803
  1.702703,   0.100616,   0.013682
  1.711712,   0.100451,   0.013562
  1.720721,   0.100287,   0.013443
  1.729730,   0.100124,   0.013327
  1.738739,   0.099964,   0.013212
  1.747748,   0.099804,   0.013098
  1.756757,   0.099647,   0.012986
  1.765766,   0.099491,   0.012876
  1.774775,   0.099336,   0.012767
  1.783784,   0.099183,   0.012659
  1.792793,   0.099031,   0.012553
  1.801802,   0.098880,   0.012449
  1.810811,   0.098731,   0.012346
  1.819820,   0.098584,   0.012244
  1.828829,   0.098438,   0.012143
  1.837838,   0.098293,   0.012044
  1.846847,   0.098149,   0.011946
  1.855856,   0.098007,   0.011849
  1.864865,   0.097866,   0.011754
  1.873874,   0.097726,   0.011659
  1.882883,   0.097588,   0.011566
  1.891892,   0.097451,   0.011474
  1.900901,   0.097314,   0.011384
  1.909910,   0.097180,   0.011294
  1.918919,   0.097046,   0.011206
  1.927928,   0.096914,   0.011118
  1.936937,   0.096782,   0.011032
  1.945946,   0.096652,   0.010947
  1.954955,   0.096523,   0.010863
  1.963964,   0.096395,   0.010779
  1.972973,   0.096268,   0.010697
  1.981982,   0.096143,   0.010616
  1.990991,   0.096018,   0.010536
  2.000000,   0.095894,   0.010457
  2.009009,   0.095772,   0.010378
  2.018018,   0.095650,   0.010301
  2.027027,   0.095529,   0.010224
  2.036036,   0.095410,   0.010149
  2.045045,   0.095291,   0.010074
  2.054054,   0.095174,   0.010000
  2.063063,   0.095057,   0.009928
  2.072072,   0.094941,   0.009855
  2.081081,   0.094827,   0.009784
  2.090090,   0.094713,   0.009714
  2.099099,   0.094600,   0.009644
  2.108108,   0.094488,   0.009575
  2.117117,   0.094377,   0.009507
  2.126126,   0.094267,   0.009440
  2.135135,   0.094157,   0.009373
  2.144144,   0.094049,   0.009308
  2.153153,   0.093941,   0.009242
  2.162162,   0.093834,   0.009178
  2.171171,   0.093728,   0.009114
  2.180180,   0.093623,   0.009051
  2.189189,   0.093519,   0.008989
  2.198198,   0.093415,   0.008928
  2.207207,   0.093313,   0.008867
  2.216216,   0.093211,   0.008807
  2.225225,   0.093110,   0.008747
  2.234234,   0.093009,   0.008688
  2.243243,   0.092909,   0.008630
  2.252252,   0.092811,   0.008572
  2.261261,   0.092712,   0.008515
  2.270270,   0.092615,   0.008458
  2.279279,   0.092518,   0.008402
  2.288288,   0.092422,   0.008347
  2.297297,   0.092327,   0.008292
  2.306306,   0.092232,   0.008238
  2.315315,   0.092138,   0.008185
  2.324324,   0.092045,   0.008132
  2.333333,   0.091953,   0.008079
  2.342342,   0.091861,   0.008027
  2.351351,   0.091770,   0.007976
  2.360360,   0.091679,   0.007925
  2.369369,   0.091589,   0.007874
  2.378378,   0.091500,   0.007824
  2.387387,   0.091411,   0.007775
  2.396396,   0.091323,   0.007726
  2.405405,   0.091236,   0.007678
  2.414414,   0.091149,   0.007630
  2.423423,   0.091063,   0.007582
  2.432432,   0.090977,   0.007535
  2.441441,   0.090892,   0.007489
  2.450450,   0.090808,   0.007443
  2.459459,   0.090724,   0.007397
  2.468468,   0.090641,   0.007352
  2.477477,   0.090558,   0.007307
  2.486486,   0.090476,   0.007263
  2.495495,   0.090395,   0.007219
  2.504505,   0.090314,   0.007176
  2.513514,   0.090233,   0.007133
  2.522523,   0.090153,   0.007090
  2.531532,   0.090074,   0.007048
  2.540541,   0.089995,   0.007006
  2.549550,   0.089917,   0.006964
  2.558559,   0.089839,   0.006923
  2.567568,   0.089762,   0.006883
  2.576577,   0.089685,   0.006842
  2.585586,   0.089608,   0.006803
  2.594595,   0.089533,   0.006763
  2.603604,   0.089457,   0.006724
  2.612613,   0.089383,   0.006685
  2.621622,   0.089308,   0.006647
  2.630631,   0.089234,   0.006608
  2.639640,   0.089161,   0.006571
  2.648649,   0.089088,   0.006533
  2.657658,   0.089016,   0.006496
  2.666667,   0.088944,   0.006459
  2.675676,   0.088872,   0.006423
  2.684685,   0.088801,   0.006387
  2.693694,   0.088731,   0.006351
  2.702703,   0.088660,   0.006316
  2.711712,   0.088591,   0.006281
  2.720721,   0.088521,   0.006246
  2.729730,   0.088452,   0.006211
  2.738739,   0.088384,   0.006177
  2.747748,   0.088316,   0.006143
  2.756757,   0.088248,   0.006109
  2.765766,   0.088181,   0.006076
  2.774775,   0.088114,   0.006043
  2.783784,   0.088048,   0.006010
  2.792793,   0.087982,   0.005978
  2.801802,   0.087917,   0.005946
  2.810811,   0.087851,   0.005914
  2.819820,   0.087787,   0.005882
  2.828829,   0.087722,   0.005851
  2.837838,   0.087658,   0.005820
  2.846847,   0.087595,   0.005789
  2.855856,   0.087531,   0.005758
  2.864865,   0.087468,   0.005728
  2.873874,   0.087406,   0.005698
  2.882883,   0.087344,   0.005668
  2.891892,   0.087282,   0.005638
  2.900901,   0.087221,   0.005609
  2.909910,   0.087159,   0.005580
  2.918919,   0.087099,   0.005551
  2.927928,   0.087038,   0.005522
  2.936937,   0.086978,   0.005494
  2.945946,   0.086919,   0.005466
  2.954955,   0.086859,   0.005438
  2.963964,   0.086800,   0.005410
  2.972973,   0.086742,   0.005383
  2.981982,   0.086684,   0.005356
  2.990991,   0.086626,   0.005329
  3.000000,   0.086568,   0.005302
  3.009009,   0.086511,   0.005275
  3.018018,   0.086454,   0.005249
  3.027027,   0.086397,   0.005223
  3.036036,   0.086341,   0.005197
  3.045045,   0.086285,   0.005171
  3.054054,   0.086229,   0.005145
  3.063063,   0.086173,   0.005120
  3.072072,   0.086118,   0.005095
  3.081081,   0.086063,   0.005070
  3.090090,   0.086009,   0.005045
  3.099099,   0.085955,   0.005020
  3.108108,   0.085901,   0.004996
  3.117117,   0.085847,   0.004972
  3.126126,   0.085794,   0.004948
  3.135135,   0.085741,   0.004924
  3.144144,   0.085688,   0.004900
  3.153153,   0.085635,   0.004877
  3.162162,   0.085583,   0.004854
  3.171171,   0.085531,   0.004830
  3.180180,   0.085480,   0.004808
  3.189189,   0.085428,   0.004785
  3.198198,   0.085377,   0.004762
  3.207207,   0.085326,   0.004740
  3.216216,   0.085276,   0.004718
  3.225225,   0.085226,   0.004695
  3.234234,   0.085176,   0.004673
  3.243243,   0.085126,   0.004652
  3.252252,   0.085076,   0.004630
  3.261261,   0.085027,   0.004609
  3.270270,   0.084978,   0.004587
  3.279279,   0.084929,   0.004566
  3.288288,   0.084881,   0.004545
  3.297297,   0.084833,   0.004524
  3.306306,   0.084785,   0.004504
  3.315315,   0.084737,   0.004483
  3.324324,   0.084689,   0.004463
  3.333333,   0.084642,   0.004443
  3.342342,   0.084595,   0.004423
  3.351351,   0.084548,   0.004403
  3.360360,   0.084502,   0.004383
  3.369369,   0.084455,   0.004363
  3.378378,   0.084409,   0.004344
  3.387387,   0.084363,   0.004324
  3.396396,   0.084318,   0.004305
  3.405405,   0.084272,   0.004286
  3.414414,   0.084227,   0.004267
  3.423423,   0.084182,   0.004248
  3.432432,   0.084138,   0.004230
  3.441441,   0.084093,   0.004211
  3.450450,   0.084049,   0.004193
  3.459459,   0.084005,   0.004174
  3.468468,   0.083961,   0.004156
  3.477477,   0.083917,   0.004138
  3.486486,   0.083874,   0.004120
  3.495495,   0.083831,   0.004102
  3.504505,   0.083788,   0.004085
  3.513514,   0.083745,   0.004067
  3.522523,   0.083702,   0.004050
  3.531532,   0.083660,   0.004032
  3.540541,   0.083618,   0.004015
  3.549550,   0.083576,   0.003998
  3.558559,   0.083534,   0.003981
  3.567568,   0.083492,   0.003964
  3.576577,   0.083451,   0.003947
  3.585586,   0.083410,   0.003931
  3.594595,   0.083369,   0.003914
  3.603604,   0.083328,   0.003898
  3.612613,   0.083287,   0.003881
  3.621622,   0.083247,   0.003865
  3.630631,   0.083207,   0.003849
  3.639640,   0.083167,   0.003833
  3.648649,   0.083127,   0.003817
  3.657658,   0.083087,   0.003802
  3.666667,   0.083048,   0.003786
  3.675676,   0.083008,   0.003770
  3.684685,   0.082969,   0.003755
  3.693694,   0.082930,   0.003739
  3.702703,   0.082892,   0.003724
  3.711712,   0.082853,   0.003709
  3.720721,   0.082815,   0.003694
  3.729730,   0.082776,   0.003679
  3.738739,   0.082738,   0.003664
  3.747748,   0.082701,   0.003649
  3.756757,   0.082663,   0.003635
  3.765766,   0.082625,   0.003620
  3.774775,   0.082588,   0.003606
  3.783784,   0.082551,   0.003591
  3.792793,   0.082514,   0.003577
  3.801802,   0.082477,   0.003563
  3.810811,   0.082440,   0.003549
  3.819820,   0.082403,   0.003534
  3.828829,   0.082367,   0.003521
  3.837838,   0.082331,   0.003507
  3.846847,   0.082295,   0.003493
  3.855856,   0.082259,   0.003479
  3.864865,   0.082223,   0.003466
  3.873874,   0.082188,   0.003452
  3.882883,   0.082152,   0.003439
  3.891892,   0.082117,   0.003425
  3.900901,   0.082082,   0.003412
  3.909910,   0.082047,   0.003399
  3.918919,   0.082012,   0.003386
  3.927928,   0.081977,   0.003373
  3.936937,   0.081943,   0.003360
  3.945946,   0.081908,   0.003347
  3.954955,   0.081874,   0.003334
  3.963964,   0.081840,   0.003321
  3.972973,   0.081806,   0.003309
  3.981982,   0.081772,   0.003296
  3.990991,   0.081739,   0.003284
  4.000000,   0.081705,   0.003271
  4.009009,   0.081672,   0.003259
  4.018018,   0.081639,   0.003247
  4.027027,   0.081606,   0.003234
  4.036036,   0.081573,   0.003222
  4.045045,   0.081540,   0.003210
  4.054054,   0.081507,   0.003198
  4.063063,   0.081475,   0.003186
  4.072072,   0.081442,   0.003175
  4.081081,   0.081410,   0.003163
  4.090090,   0.081378,   0.003151
  4.099099,   0.081346,   0.003140
  4.108108,   0.081314,   0.003128
  4.117117,   0.081282,   0.003116
  4.126126,   0.081251,   0.003105
  4.135135,   0.081219,   0.003094
  4.144144,   0.081188,   0.003082
  4.153153,   0.081157,   0.003071
  4.162162,   0.081126,   0.003060
  4.171171,   0.081095,   0.003049
  4.180180,   0.081064,   0.003038
  4.189189,   0.081033,   0.003027
  4.198198,   0.081002,   0.003016
  4.207207,   0.080972,   0.003005
  4.216216,   0.080942,   0.002994
  4.225225,   0.080911,   0.002984
  4.234234,   0.080881,   0.002973
  4.243243,   0.080851,   0.002962
  4.252252,   0.080822,   0.002952
  4.261261,   0.080792,   0.002941
  4.270270,   0.080762,   0.002931
  4.279279,   0.080733,   0.002921
  4.288288,   0.080703,   0.002910
  4.297297,   0.080674,   0.002900
  4.306306,   0.080645,   0.002890
  4.315315,   0.080616,   0.002880
  4.324324,   0.080587,   0.002870
  4.333333,   0.080558,   0.002860
  4.342342,   0.080530,   0.002850
  4.351351,   0.080501,   0.002840
  4.360360,   0.080472,   0.002830
  4.369369,   0.080444,   0.002820
  4.378378,   0.080416,   0.002810
  4.387387,   0.080388,   0.002801
  4.396396,   0.080360,   0.002791
  4.405405,   0.080332,   0.002782
  4.414414,   0.080304,   0.002772
  4.423423,   0.080276,   0.002763
  4.432432,   0.080249,   0.002753
  4.441441,   0.080221,   0.002744
  4.450450,   0.080194,   0.002734
  4.459459,   0.080166,   0.002725
  4.468468,   0.080139,   0.002716
  4.477477,   0.080112,   0.002707
  4.486486,   0.080085,   0.002698
